attendance,current_test_score,current_assignment_score,previous_test_score,previous_assignment_score,fees,gender,dropout_target
38,44,28,53,44,Paid,Female,High Risk
80,80,75,67,62,Unpaid,Male,Low Risk
77,70,52,60,65,Unpaid,Male,Low Risk
70,66,73,50,55,Paid,Female,Low Risk
54,48,56,56,62,Paid,Male,Medium Risk
41,64,62,46,41,Paid,Female,Medium Risk
44,64,52,50,57,Paid,Male,Medium Risk
68,55,59,51,61,Unpaid,Male,Medium Risk
51,57,55,49,59,Unpaid,Female,High Risk
56,64,64,60,70,Paid,Female,Medium Risk
59,60,54,52,54,Paid,Male,Medium Risk
43,49,52,39,58,Paid,Male,Medium Risk
75,78,67,71,61,Paid,Female,Low Risk
65,58,58,58,48,Unpaid,Male,Medium Risk
55,63,94,45,62,Unpaid,Male,Medium Risk
47,38,60,41,54,Unpaid,Female,High Risk
64,53,59,46,66,Paid,Female,Medium Risk
57,68,68,42,42,Unpaid,Female,Medium Risk
78,63,43,52,44,Unpaid,Female,Medium Risk
73,55,53,63,55,Paid,Male,Low Risk
43,52,59,51,61,Paid,Female,Medium Risk
48,31,46,26,38,Paid,Female,High Risk
58,65,59,56,68,Paid,Female,Low Risk
51,49,36,48,56,Unpaid,Female,High Risk
35,37,41,44,50,Paid,Male,High Risk
56,48,62,29,57,Unpaid,Male,High Risk
83,76,62,70,52,Paid,Male,Low Risk
42,52,57,55,46,Paid,Female,Medium Risk
88,76,67,69,58,Unpaid,Male,Low Risk
43,72,56,59,50,Unpaid,Male,High Risk
45,49,46,47,45,Paid,Female,High Risk
52,38,40,38,42,Paid,Female,High Risk
51,61,53,67,75,Paid,Male,Medium Risk
46,53,54,52,40,Paid,Male,Medium Risk
67,57,66,55,70,Unpaid,Male,Low Risk
62,65,66,60,57,Paid,Male,Medium Risk
61,64,59,67,55,Paid,Female,Low Risk
59,67,64,61,67,Paid,Female,Medium Risk
77,71,50,56,59,Paid,Male,Low Risk
48,51,47,58,58,Paid,Female,Medium Risk
46,58,64,61,63,Unpaid,Female,Medium Risk
100,67,60,61,70,Unpaid,Female,Low Risk
51,63,54,63,64,Paid,Female,Medium Risk
47,57,68,55,53,Unpaid,Female,Medium Risk
51,51,60,43,58,Paid,Male,Medium Risk
63,63,70,63,60,Paid,Female,Low Risk
55,54,49,39,46,Unpaid,Male,High Risk
59,55,55,45,30,Paid,Female,Medium Risk
52,39,47,31,43,Unpaid,Female,High Risk
51,45,56,35,29,Paid,Female,Medium Risk
38,60,54,67,58,Unpaid,Female,High Risk
72,55,56,60,48,Unpaid,Male,Medium Risk
41,44,51,38,57,Unpaid,Female,High Risk
68,60,61,64,69,Paid,Female,Low Risk
62,52,37,50,56,Paid,Male,Medium Risk
74,67,57,70,52,Paid,Male,Low Risk
46,36,50,24,46,Paid,Female,High Risk
88,75,58,63,44,Paid,Male,Low Risk
43,41,37,43,20,Paid,Female,High Risk
38,51,70,55,56,Paid,Female,Medium Risk
67,71,57,56,67,Unpaid,Male,Medium Risk
40,63,64,72,73,Paid,Female,Medium Risk
70,51,58,61,59,Paid,Female,Low Risk
27,27,21,27,19,Unpaid,Male,High Risk
46,69,70,70,75,Paid,Female,Medium Risk
37,36,42,32,39,Paid,Male,High Risk
64,68,67,73,44,Paid,Male,Low Risk
83,76,64,55,54,Paid,Male,Low Risk
44,60,63,52,44,Paid,Male,Medium Risk
52,62,63,46,48,Paid,Male,Medium Risk
69,60,56,74,55,Paid,Female,Low Risk
71,58,52,56,57,Paid,Male,Low Risk
64,57,61,56,54,Unpaid,Female,Low Risk
38,51,54,44,38,Unpaid,Male,High Risk
47,31,47,34,49,Unpaid,Female,High Risk
49,68,68,60,58,Paid,Female,Low Risk
46,48,53,51,51,Paid,Female,Medium Risk
75,45,42,50,62,Paid,Female,Low Risk
58,70,79,62,59,Unpaid,Male,Medium Risk
43,34,29,27,24,Paid,Male,High Risk
69,57,43,49,49,Paid,Female,Medium Risk
51,50,34,56,43,Paid,Male,Medium Risk
37,44,42,45,68,Unpaid,Male,High Risk
45,56,51,50,61,Paid,Male,Medium Risk
58,71,63,78,63,Paid,Male,Low Risk
45,53,54,39,49,Paid,Female,High Risk
44,56,48,50,40,Paid,Male,Medium Risk
69,65,81,74,71,Unpaid,Male,Low Risk
33,37,40,23,29,Paid,Female,High Risk
69,53,45,55,47,Paid,Male,Low Risk
55,58,50,62,61,Paid,Male,Low Risk
60,71,72,63,57,Paid,Female,Low Risk
57,54,53,47,51,Unpaid,Male,High Risk
77,72,66,77,74,Paid,Male,Low Risk
50,51,59,53,61,Unpaid,Female,Medium Risk
38,40,43,52,67,Paid,Female,High Risk
42,42,49,63,50,Paid,Male,High Risk
28,41,32,47,49,Unpaid,Female,High Risk
52,48,43,48,36,Paid,Female,Medium Risk
49,44,49,48,63,Unpaid,Female,High Risk
41,44,55,49,49,Paid,Female,High Risk
37,62,44,46,44,Paid,Male,High Risk
68,52,58,42,59,Paid,Female,Medium Risk
66,51,60,41,31,Paid,Male,Low Risk
53,57,62,65,54,Paid,Female,Low Risk
55,50,50,70,60,Paid,Female,Medium Risk
41,44,54,50,64,Paid,Male,Medium Risk
81,85,66,81,52,Paid,Male,Low Risk
70,47,35,43,50,Paid,Female,Medium Risk
42,42,38,44,52,Paid,Female,High Risk
55,48,63,58,56,Paid,Female,Medium Risk
43,44,55,21,53,Paid,Female,High Risk
50,40,45,44,56,Unpaid,Male,High Risk
71,66,65,62,67,Unpaid,Female,Low Risk
47,46,33,60,44,Paid,Female,Medium Risk
70,74,52,67,61,Paid,Female,Low Risk
47,37,56,46,56,Paid,Female,High Risk
40,37,43,35,46,Unpaid,Male,High Risk
60,52,68,45,49,Paid,Male,Low Risk
61,62,49,54,37,Paid,Male,Medium Risk
47,58,43,44,36,Unpaid,Female,High Risk
71,72,46,47,44,Unpaid,Male,Medium Risk
33,54,33,44,40,Unpaid,Male,High Risk
76,65,63,62,69,Unpaid,Male,Low Risk
59,63,66,70,47,Paid,Female,Low Risk
34,50,68,54,59,Unpaid,Male,High Risk
69,74,72,67,65,Unpaid,Male,Low Risk
59,69,66,68,71,Paid,Female,Low Risk
54,56,72,49,56,Unpaid,Male,Medium Risk
43,51,54,33,53,Paid,Male,High Risk
40,51,52,24,19,Paid,Male,High Risk
39,57,38,64,35,Paid,Male,Medium Risk
25,41,44,27,28,Unpaid,Male,High Risk
59,53,58,48,63,Paid,Male,Medium Risk
39,51,40,52,52,Unpaid,Male,High Risk
40,50,55,54,49,Paid,Male,Medium Risk
50,68,54,64,53,Paid,Female,Low Risk
60,70,58,67,65,Paid,Female,Low Risk
50,43,47,44,35,Paid,Female,High Risk
44,55,50,57,44,Unpaid,Male,High Risk
57,56,57,50,55,Paid,Male,Medium Risk
82,72,78,65,46,Paid,Male,Low Risk
66,78,70,65,63,Paid,Male,Low Risk
71,64,53,49,56,Unpaid,Male,Medium Risk
99,65,67,66,56,Paid,Male,Low Risk
66,79,78,69,56,Paid,Male,Low Risk
61,56,60,51,48,Paid,Female,Low Risk
56,66,68,59,51,Paid,Female,Low Risk
51,49,49,66,57,Paid,Male,Medium Risk
57,62,63,72,61,Paid,Male,Medium Risk
46,46,39,46,46,Paid,Male,High Risk
50,57,60,48,58,Paid,Female,Medium Risk
39,37,55,38,49,Unpaid,Female,High Risk
78,68,60,54,58,Paid,Female,Low Risk
75,64,71,59,57,Paid,Male,Low Risk
48,43,59,55,63,Unpaid,Female,High Risk
22,51,47,45,43,Paid,Female,High Risk
56,58,66,61,63,Paid,Female,Medium Risk
50,43,49,49,46,Paid,Male,Medium Risk
40,54,49,41,37,Unpaid,Female,High Risk
62,73,74,50,57,Paid,Female,Low Risk
66,46,63,30,55,Paid,Male,Medium Risk
50,54,53,44,54,Paid,Female,Medium Risk
52,58,50,52,55,Paid,Female,Medium Risk
45,60,59,76,64,Unpaid,Female,High Risk
59,54,53,57,69,Paid,Male,Medium Risk
75,72,55,61,59,Paid,Female,Low Risk
44,48,51,65,58,Paid,Male,Medium Risk
33,50,60,72,62,Paid,Male,Medium Risk
36,47,53,53,51,Unpaid,Male,High Risk
61,58,51,44,45,Paid,Male,Medium Risk
54,60,57,52,58,Paid,Female,Medium Risk
54,47,52,53,54,Paid,Female,Medium Risk
78,78,73,67,49,Unpaid,Male,Low Risk
38,54,44,55,42,Paid,Male,High Risk
53,48,57,57,45,Paid,Female,Medium Risk
74,61,68,70,63,Paid,Male,Low Risk
78,48,40,42,36,Paid,Female,Medium Risk
35,53,48,53,56,Paid,Female,High Risk
70,77,60,83,67,Paid,Female,Low Risk
57,53,55,65,66,Paid,Female,Low Risk
70,54,49,52,56,Paid,Male,Low Risk
60,74,60,71,65,Paid,Male,Low Risk
49,50,45,52,38,Unpaid,Male,High Risk
79,64,53,42,44,Unpaid,Male,Low Risk
52,55,52,80,54,Paid,Male,Medium Risk
64,62,46,54,69,Paid,Male,Medium Risk
48,70,62,65,56,Unpaid,Male,Medium Risk
41,35,35,44,49,Paid,Female,High Risk
50,69,55,68,46,Paid,Female,Medium Risk
59,61,56,58,51,Paid,Female,Medium Risk
68,69,67,70,70,Paid,Male,Low Risk
49,54,60,51,61,Paid,Female,Medium Risk
37,33,40,33,52,Unpaid,Male,High Risk
52,64,59,63,55,Unpaid,Female,Medium Risk
53,46,38,54,58,Paid,Male,Medium Risk
68,71,66,61,54,Unpaid,Female,Medium Risk
31,46,49,51,56,Paid,Male,High Risk
74,61,62,53,42,Paid,Female,Low Risk
53,67,59,54,57,Paid,Female,Low Risk
67,65,73,53,73,Paid,Male,Low Risk
26,20,17,30,20,Paid,Male,High Risk
46,45,54,58,66,Paid,Female,Medium Risk
35,45,44,44,45,Paid,Male,High Risk
49,44,42,37,52,Paid,Male,High Risk
54,63,69,73,58,Paid,Male,Low Risk
59,44,63,51,56,Unpaid,Male,High Risk
51,60,53,44,51,Paid,Male,Medium Risk
72,62,65,53,59,Paid,Female,Low Risk
56,51,43,42,38,Unpaid,Female,Medium Risk
49,49,51,50,51,Unpaid,Female,High Risk
55,46,50,31,35,Paid,Male,Medium Risk
41,41,47,44,51,Paid,Male,Medium Risk
66,62,49,57,44,Unpaid,Male,Medium Risk
50,55,52,59,56,Paid,Male,Medium Risk
34,39,49,46,42,Paid,Male,High Risk
49,53,47,48,50,Unpaid,Female,Medium Risk
81,70,70,56,50,Unpaid,Male,Low Risk
43,46,50,51,60,Paid,Female,Medium Risk
73,43,37,58,55,Unpaid,Male,Medium Risk
54,32,27,42,37,Paid,Female,High Risk
63,54,73,53,51,Paid,Male,Low Risk
63,59,51,57,62,Paid,Male,Low Risk
52,43,48,38,49,Paid,Female,Medium Risk
73,52,35,70,55,Paid,Female,Low Risk
38,35,37,41,23,Paid,Male,High Risk
65,52,66,55,69,Unpaid,Female,Medium Risk
52,55,66,46,60,Unpaid,Male,Medium Risk
63,71,58,57,64,Paid,Female,Low Risk
52,44,42,31,40,Paid,Male,High Risk
15,36,27,50,36,Paid,Male,High Risk
43,48,53,49,39,Paid,Female,High Risk
57,54,52,57,49,Unpaid,Male,Medium Risk
39,52,34,52,33,Paid,Female,High Risk
75,50,38,69,66,Paid,Male,Low Risk
44,36,33,41,45,Unpaid,Female,High Risk
49,68,55,45,69,Paid,Male,Medium Risk
68,59,58,57,43,Paid,Male,Low Risk
55,58,59,33,48,Paid,Male,Medium Risk
62,57,44,65,54,Paid,Female,Medium Risk
52,51,38,67,63,Unpaid,Male,High Risk
45,31,43,41,49,Paid,Male,High Risk
50,36,47,23,43,Paid,Female,High Risk
65,56,52,30,34,Paid,Female,Medium Risk
48,35,53,31,44,Paid,Male,Medium Risk
80,77,84,82,84,Paid,Female,Low Risk
44,34,47,32,26,Paid,Female,High Risk
61,59,45,68,48,Paid,Male,Medium Risk
86,83,81,69,70,Paid,Male,Low Risk
59,53,53,67,55,Paid,Female,Low Risk
61,52,37,59,53,Paid,Female,Medium Risk
69,52,46,53,58,Paid,Female,Medium Risk
72,62,63,74,64,Paid,Female,Low Risk
59,55,55,65,56,Paid,Female,Low Risk
43,56,68,42,52,Paid,Male,Medium Risk
59,57,56,55,49,Paid,Female,Low Risk
19,35,38,25,30,Paid,Female,High Risk
67,59,58,45,57,Unpaid,Male,Medium Risk
86,75,71,70,61,Paid,Male,Low Risk
68,60,73,74,68,Unpaid,Male,Medium Risk
66,54,64,44,57,Paid,Female,Medium Risk
62,65,51,64,57,Paid,Male,Low Risk
39,57,69,57,61,Paid,Female,High Risk
50,76,75,63,50,Paid,Female,Low Risk
49,47,51,47,61,Paid,Male,Medium Risk
17,40,51,26,34,Paid,Female,High Risk
48,55,50,53,44,Paid,Female,Medium Risk
56,48,41,48,54,Unpaid,Male,High Risk
59,54,62,48,55,Unpaid,Male,Medium Risk
71,58,51,61,48,Paid,Male,Low Risk
72,44,48,38,50,Paid,Female,Medium Risk
75,53,40,61,50,Paid,Male,Low Risk
54,51,48,41,44,Unpaid,Female,Medium Risk
43,58,50,67,63,Paid,Female,Medium Risk
41,37,40,32,35,Unpaid,Male,High Risk
67,63,70,50,43,Unpaid,Female,Low Risk
45,59,50,71,54,Paid,Male,Medium Risk
63,58,38,47,47,Unpaid,Male,High Risk
54,49,49,50,28,Paid,Female,Medium Risk
47,42,52,51,56,Paid,Female,Medium Risk
57,35,33,34,38,Unpaid,Male,High Risk
55,35,50,29,26,Paid,Female,High Risk
66,51,58,34,44,Paid,Female,Low Risk
42,51,43,53,45,Unpaid,Male,High Risk
46,58,73,53,56,Unpaid,Female,Medium Risk
53,54,37,41,27,Paid,Male,Medium Risk
39,60,36,59,42,Unpaid,Male,High Risk
58,45,43,56,48,Unpaid,Female,High Risk
75,38,48,40,38,Paid,Female,Medium Risk
68,53,55,42,46,Paid,Female,Low Risk
65,82,63,84,78,Paid,Male,Low Risk
64,66,54,52,47,Paid,Female,Low Risk
59,53,46,44,43,Paid,Female,Medium Risk
67,50,56,54,52,Paid,Male,Medium Risk
59,68,59,55,46,Unpaid,Female,Medium Risk
43,55,53,39,56,Paid,Male,Medium Risk
53,57,61,47,43,Paid,Male,Medium Risk
42,45,51,63,67,Paid,Male,High Risk
28,38,22,48,37,Paid,Male,High Risk
56,52,52,44,50,Unpaid,Female,High Risk
42,50,53,54,53,Paid,Female,Medium Risk
70,79,55,58,50,Unpaid,Male,Medium Risk
49,55,58,56,43,Unpaid,Female,High Risk
58,73,70,67,69,Paid,Male,Low Risk
43,52,51,40,49,Paid,Male,High Risk
56,62,59,60,59,Paid,Male,Medium Risk
57,66,67,53,56,Paid,Female,Low Risk
35,58,49,48,63,Paid,Female,High Risk
47,41,50,42,43,Unpaid,Male,High Risk
60,62,66,62,70,Paid,Male,Low Risk
67,56,70,60,77,Paid,Male,Low Risk
53,61,60,67,58,Paid,Female,Low Risk
47,62,60,68,50,Unpaid,Female,High Risk
44,43,58,57,61,Paid,Male,Medium Risk
62,59,47,56,43,Paid,Female,Low Risk
50,49,65,51,56,Paid,Female,Medium Risk
64,52,76,56,46,Paid,Female,Low Risk
44,66,62,57,59,Paid,Male,Medium Risk
33,33,27,32,49,Paid,Female,High Risk
63,63,53,65,51,Paid,Female,Medium Risk
52,60,56,65,57,Unpaid,Female,High Risk
74,68,54,57,51,Paid,Male,Low Risk
68,79,55,66,65,Paid,Male,Low Risk
54,52,57,39,54,Unpaid,Male,High Risk
59,58,66,55,60,Unpaid,Female,Medium Risk
58,36,51,44,58,Paid,Female,Medium Risk
60,70,65,62,45,Paid,Male,Low Risk
37,42,46,38,43,Paid,Female,High Risk
42,57,52,65,55,Paid,Male,Medium Risk
60,61,59,47,49,Paid,Male,Low Risk
26,55,23,59,41,Paid,Male,High Risk
31,44,36,48,44,Paid,Female,High Risk
58,52,64,42,49,Unpaid,Female,Medium Risk
53,52,41,31,41,Unpaid,Female,High Risk
60,73,77,68,62,Paid,Female,Low Risk
71,54,61,39,68,Paid,Male,Low Risk
40,37,24,34,38,Unpaid,Male,High Risk
47,41,31,44,47,Paid,Female,High Risk
57,62,47,51,46,Paid,Male,Medium Risk
73,75,74,76,63,Unpaid,Female,Low Risk
56,39,50,38,67,Paid,Female,Medium Risk
59,49,47,42,42,Paid,Female,Medium Risk
55,44,46,26,41,Unpaid,Male,High Risk
44,36,48,22,46,Paid,Male,High Risk
62,49,47,50,53,Unpaid,Female,Medium Risk
68,68,71,74,70,Paid,Male,Low Risk
51,51,48,63,50,Paid,Female,Medium Risk
71,58,66,62,63,Paid,Female,Low Risk
59,45,53,54,68,Paid,Female,Medium Risk
51,73,62,62,56,Unpaid,Female,Medium Risk
53,39,33,28,38,Paid,Male,Medium Risk
76,58,55,47,57,Unpaid,Male,Medium Risk
59,65,51,59,51,Paid,Male,Low Risk
53,62,53,54,45,Paid,Male,Medium Risk
85,60,63,44,58,Paid,Female,Low Risk
39,47,51,47,57,Paid,Male,High Risk
62,51,56,52,63,Paid,Female,Low Risk
35,45,48,42,56,Paid,Male,High Risk
45,56,47,65,59,Paid,Female,Medium Risk
33,54,58,54,50,Unpaid,Female,High Risk
43,53,38,44,47,Paid,Female,High Risk
35,31,43,33,58,Unpaid,Female,High Risk
51,37,52,27,37,Paid,Female,High Risk
50,53,56,61,37,Paid,Male,Medium Risk
42,57,47,54,61,Unpaid,Male,High Risk
53,50,49,61,43,Paid,Female,Medium Risk
80,65,57,52,44,Paid,Male,Low Risk
22,49,29,47,35,Paid,Male,High Risk
59,37,35,42,46,Paid,Female,Medium Risk
46,50,66,61,72,Unpaid,Female,Medium Risk
63,60,51,56,69,Paid,Female,Low Risk
68,57,36,60,56,Paid,Male,Medium Risk
47,44,29,54,41,Paid,Male,Medium Risk
59,45,34,58,46,Unpaid,Female,High Risk
45,76,76,64,70,Paid,Female,Low Risk
33,39,36,45,58,Unpaid,Female,High Risk
31,60,63,48,45,Unpaid,Male,High Risk
45,41,37,24,33,Paid,Female,High Risk
65,54,56,62,47,Paid,Female,Low Risk
46,35,28,49,39,Unpaid,Female,High Risk
62,59,63,58,60,Paid,Female,Low Risk
34,44,46,36,26,Unpaid,Female,High Risk
58,68,46,60,31,Paid,Female,Low Risk
64,70,63,70,63,Paid,Female,Low Risk
41,46,47,45,51,Unpaid,Female,High Risk
57,53,47,55,55,Paid,Female,Medium Risk
58,47,38,52,40,Paid,Female,Medium Risk
50,37,46,28,31,Unpaid,Female,High Risk
41,51,49,44,61,Unpaid,Male,High Risk
62,39,35,21,30,Paid,Female,Medium Risk
70,64,57,55,57,Unpaid,Male,Low Risk
31,41,46,31,34,Paid,Male,High Risk
83,73,50,58,50,Paid,Female,Low Risk
87,79,80,75,64,Paid,Male,Low Risk
77,74,78,83,89,Paid,Male,Low Risk
55,56,56,63,62,Paid,Female,Medium Risk
57,54,52,55,65,Paid,Female,Medium Risk
42,48,52,63,55,Paid,Male,Medium Risk
44,63,63,56,66,Unpaid,Female,Medium Risk
29,40,46,48,43,Paid,Male,High Risk
43,63,59,61,51,Paid,Male,Medium Risk
42,42,56,38,48,Unpaid,Male,High Risk
78,86,61,56,45,Unpaid,Female,Low Risk
41,52,51,49,58,Paid,Male,High Risk
25,33,38,46,46,Paid,Male,High Risk
61,54,53,49,50,Paid,Male,Medium Risk
56,68,66,62,65,Unpaid,Female,Medium Risk
58,61,54,62,61,Unpaid,Female,Medium Risk
35,40,42,39,35,Paid,Male,High Risk
21,46,28,63,45,Paid,Male,High Risk
46,34,25,27,34,Paid,Female,High Risk
75,49,54,31,38,Paid,Male,Low Risk
62,48,63,55,66,Paid,Female,Medium Risk
47,42,41,45,48,Unpaid,Male,High Risk
44,41,31,62,42,Unpaid,Male,High Risk
32,18,24,28,34,Paid,Female,High Risk
52,60,62,49,56,Unpaid,Male,Medium Risk
56,49,63,42,49,Paid,Male,Medium Risk
48,59,66,70,73,Paid,Female,Low Risk
54,63,62,58,54,Paid,Female,Medium Risk
53,48,53,46,56,Paid,Female,Medium Risk
62,58,51,46,48,Paid,Female,Medium Risk
59,43,30,41,32,Unpaid,Male,High Risk
69,74,57,51,54,Paid,Male,Low Risk
58,59,63,53,56,Paid,Female,Medium Risk
66,64,78,64,71,Paid,Male,Low Risk
67,80,77,70,61,Paid,Male,Low Risk
57,45,53,48,58,Unpaid,Male,Medium Risk
30,54,43,40,24,Paid,Female,High Risk
47,51,50,56,65,Paid,Male,Medium Risk
74,61,57,56,52,Paid,Female,Low Risk
83,72,69,72,77,Paid,Male,Low Risk
52,57,60,41,46,Paid,Male,Medium Risk
53,62,90,57,67,Paid,Male,Low Risk
61,41,28,39,34,Unpaid,Male,High Risk
71,58,44,45,55,Paid,Male,Low Risk
45,45,45,40,48,Paid,Female,High Risk
80,72,72,57,65,Paid,Female,Low Risk
74,62,58,64,73,Paid,Male,Low Risk
72,50,54,43,48,Unpaid,Male,Medium Risk
37,42,37,41,47,Paid,Male,High Risk
59,65,55,44,61,Paid,Male,Low Risk
63,64,64,62,70,Unpaid,Male,Medium Risk
46,57,58,56,52,Paid,Female,Medium Risk
59,54,61,48,46,Paid,Male,Medium Risk
63,78,71,70,79,Unpaid,Female,Low Risk
61,56,70,48,56,Paid,Female,Medium Risk
60,84,64,64,58,Unpaid,Male,Medium Risk
76,73,60,55,48,Unpaid,Female,Low Risk
57,58,53,52,50,Paid,Male,Medium Risk
63,62,64,61,45,Paid,Male,Low Risk
55,48,63,38,37,Paid,Female,Medium Risk
66,62,60,62,59,Paid,Female,Low Risk
49,52,42,64,48,Paid,Female,Medium Risk
38,49,42,59,35,Unpaid,Male,High Risk
32,39,44,34,41,Paid,Male,High Risk
79,60,42,52,38,Paid,Female,Low Risk
63,63,58,62,49,Paid,Female,Low Risk
68,55,69,51,57,Paid,Male,Low Risk
52,58,69,60,81,Paid,Male,Low Risk
44,46,38,41,36,Paid,Male,Medium Risk
35,52,57,48,55,Unpaid,Male,High Risk
49,49,54,48,53,Paid,Male,Medium Risk
28,48,61,59,56,Unpaid,Male,High Risk
69,65,52,57,52,Paid,Female,Low Risk
22,39,33,31,37,Paid,Female,High Risk
50,42,47,35,37,Unpaid,Male,High Risk
71,64,63,74,64,Unpaid,Male,Low Risk
46,43,63,45,49,Paid,Female,Medium Risk
57,49,46,63,57,Paid,Male,Medium Risk
37,41,27,34,43,Unpaid,Female,High Risk
45,74,42,62,47,Unpaid,Female,Medium Risk
56,60,54,68,49,Paid,Female,Low Risk
52,42,41,40,49,Paid,Female,Medium Risk
41,44,47,46,40,Unpaid,Female,High Risk
58,67,72,60,67,Paid,Female,Medium Risk
53,63,65,49,54,Unpaid,Male,Medium Risk
46,48,39,46,43,Unpaid,Female,High Risk
53,56,40,59,57,Paid,Male,Medium Risk
75,63,62,69,58,Paid,Female,Low Risk
62,50,56,53,48,Paid,Male,Low Risk
62,53,51,59,65,Paid,Male,Low Risk
61,57,62,52,64,Paid,Male,Low Risk
46,47,40,46,58,Paid,Male,High Risk
76,81,65,97,84,Unpaid,Male,Low Risk
69,64,45,52,44,Unpaid,Male,Medium Risk
53,49,49,52,53,Unpaid,Male,High Risk
52,50,63,47,63,Unpaid,Female,High Risk
55,36,63,51,81,Unpaid,Female,Medium Risk
67,61,63,53,50,Paid,Female,Low Risk
84,66,63,65,60,Paid,Male,Low Risk
69,60,89,41,59,Unpaid,Male,Low Risk
70,47,50,43,49,Paid,Male,Low Risk
72,64,53,68,61,Paid,Female,Low Risk
36,38,42,47,47,Unpaid,Female,High Risk
68,62,52,58,60,Paid,Male,Low Risk
52,42,47,35,58,Paid,Male,Medium Risk
71,60,61,56,71,Paid,Male,Low Risk
33,44,38,48,29,Paid,Female,High Risk
60,75,62,54,58,Unpaid,Female,Medium Risk
51,61,67,68,65,Unpaid,Female,Low Risk
81,75,60,61,67,Unpaid,Female,Low Risk
64,52,49,49,57,Paid,Female,Low Risk
52,65,63,74,56,Paid,Male,Medium Risk
76,76,68,64,72,Paid,Female,Low Risk
49,51,55,40,47,Unpaid,Male,High Risk
42,32,58,31,56,Paid,Male,High Risk
84,63,48,74,52,Paid,Female,Low Risk
49,46,49,29,47,Unpaid,Male,High Risk
62,66,68,66,62,Paid,Male,Low Risk
56,48,51,40,49,Paid,Female,Medium Risk
49,43,55,52,57,Paid,Male,High Risk
31,33,39,41,49,Paid,Male,High Risk
58,56,52,48,64,Unpaid,Female,Medium Risk
69,67,51,50,48,Paid,Female,Low Risk
48,39,45,24,38,Paid,Female,Medium Risk
62,62,42,40,38,Paid,Male,Medium Risk
46,38,23,30,31,Unpaid,Male,High Risk
52,41,35,38,34,Paid,Female,High Risk
60,62,62,48,57,Unpaid,Female,Medium Risk
60,71,82,78,72,Paid,Male,Low Risk
44,46,43,65,64,Paid,Female,Medium Risk
64,66,73,68,66,Paid,Female,Low Risk
65,66,51,83,59,Paid,Male,Low Risk
77,64,70,60,52,Paid,Male,Low Risk
70,76,67,77,61,Unpaid,Female,Low Risk
56,65,64,66,71,Paid,Female,Low Risk
79,77,71,69,67,Paid,Female,Low Risk
37,47,38,43,49,Paid,Male,High Risk
50,65,59,72,60,Paid,Female,Low Risk
54,64,58,63,55,Paid,Male,Low Risk
23,32,52,40,58,Paid,Male,High Risk
68,68,77,61,78,Paid,Female,Low Risk
64,63,40,61,57,Paid,Female,Medium Risk
58,68,74,61,65,Paid,Female,Low Risk
51,48,50,50,34,Paid,Female,Medium Risk
54,58,57,54,46,Paid,Female,Low Risk
37,39,27,39,30,Paid,Female,High Risk
58,50,33,38,39,Paid,Female,Medium Risk
66,57,57,53,53,Paid,Female,Low Risk
44,48,43,60,47,Unpaid,Male,High Risk
58,45,45,36,39,Paid,Female,Medium Risk
69,61,65,55,66,Unpaid,Female,Low Risk
66,67,70,67,62,Paid,Female,Low Risk
35,36,45,50,56,Unpaid,Male,High Risk
51,48,49,53,53,Paid,Female,Medium Risk
48,42,39,36,41,Paid,Female,High Risk
44,43,52,50,68,Paid,Female,Medium Risk
60,43,32,43,41,Paid,Male,Medium Risk
52,41,36,51,56,Unpaid,Male,High Risk
59,62,48,60,47,Paid,Male,Low Risk
72,68,48,50,46,Paid,Male,Low Risk
42,58,39,54,32,Unpaid,Female,High Risk
50,39,43,32,36,Paid,Female,High Risk
70,57,30,51,53,Unpaid,Female,Medium Risk
60,65,55,66,54,Paid,Male,Low Risk
60,68,52,45,42,Paid,Male,Low Risk
60,72,66,72,58,Paid,Male,Low Risk
46,53,66,53,62,Paid,Female,Medium Risk
46,44,57,32,41,Paid,Male,Medium Risk
52,53,52,59,81,Paid,Female,Low Risk
40,49,44,57,67,Paid,Male,High Risk
54,63,50,70,72,Unpaid,Female,Medium Risk
53,59,45,50,51,Unpaid,Female,Medium Risk
88,54,55,63,76,Paid,Male,Low Risk
52,65,67,78,67,Unpaid,Male,Medium Risk
56,49,47,45,41,Unpaid,Male,High Risk
80,68,58,58,43,Paid,Female,Low Risk
64,50,45,59,49,Paid,Female,Medium Risk
61,52,47,44,46,Paid,Female,Medium Risk
36,51,77,58,60,Paid,Male,Medium Risk
64,44,40,39,52,Paid,Male,Medium Risk
65,45,55,41,56,Paid,Female,Medium Risk
44,47,41,46,35,Unpaid,Male,High Risk
43,42,36,39,42,Paid,Male,High Risk
74,53,43,50,34,Paid,Male,Medium Risk
58,56,59,75,67,Paid,Male,Low Risk
48,59,56,55,69,Paid,Male,Medium Risk
66,50,42,36,32,Unpaid,Female,High Risk
71,57,39,57,50,Paid,Female,Low Risk
49,45,47,46,53,Unpaid,Female,High Risk
31,31,34,22,38,Paid,Female,High Risk
64,53,59,54,59,Unpaid,Female,Medium Risk
15,31,33,34,35,Paid,Male,High Risk
38,42,41,51,48,Paid,Male,High Risk
47,38,68,51,65,Paid,Female,High Risk
35,29,52,50,59,Paid,Female,High Risk
44,43,38,62,51,Unpaid,Female,High Risk
66,69,51,63,52,Paid,Male,Low Risk
